Week,Area,Number,Margin of Error +/-,Percent,MOE +/-,Measure Universe,Total Population age 18+
36,United States,5075403,577215,35.8,3.2,14167787,250265449
36,Alabama,127288,61741,56.6,18,224938,3737637
36,Alaska,15212,7604,47,16.1,32343,525308
36,Arizona,116936,84331,55.4,23.7,211239,5753909
36,Arkansas,127856,50454,65.3,14.4,195704,2264877
36,California,572865,229536,30.3,10.1,1893207,29807656
36,Colorado,77806,37722,45,18.9,172971,4504323
36,Connecticut,25524,25963,25.9,20.8,98424,2724164
36,Delaware,12998,13232,35.6,28.8,36535,767878
36,District of Columbia,20071,12870,43.7,25.3,45936,546656
36,Florida,531723,271995,45.2,14.8,1177606,17254676
36,Georgia,276878,125776,43.2,12.4,641149,8033423
36,Hawaii,19688,12024,29.3,15,67260,1065941
36,Idaho,23115,13157,43.6,20,52987,1382940
36,Illinois,157741,108032,28,15,564115,9479736
36,Indiana,59159,29352,35,15.5,169266,5029256
36,Iowa,37815,21147,46.1,20,81979,2349714
36,Kansas,26537,13475,34.7,16.4,76406,2146524
36,Kentucky,94534,50173,47,22.1,201255,3358135
36,Louisiana,121572,51675,53.2,16.4,228441,3432241
36,Maine,7878,6772,12.2,10.2,64458,1073016
36,Maryland,80518,42206,30,13.2,268588,4585752
36,Massachusetts,45232,18027,19.8,9.6,228723,5309617
36,Michigan,134864,82462,43.7,19,308306,7631231
36,Minnesota,38546,26070,24,13.5,160768,4250165
36,Mississippi,28286,16620,26.5,13.5,106826,2186321
36,Missouri,89705,41343,35.6,15.8,251939,4638839
36,Montana,11606,6639,34.8,18.4,33314,834511
36,Nebraska,15950,12555,23.9,22.2,66868,1420835
36,Nevada,61213,30913,38.1,15.1,160562,2450986
36,New Hampshire,5970,5339,17.9,15.3,33402,1080887
36,New Jersey,102380,41170,23.5,9.1,435752,6767278
36,New Mexico,36784,17814,43.7,17.2,84090,1604259
36,New York,332635,137490,27.6,10.7,1206628,14714964
36,North Carolina,199011,110879,33.3,16.7,598158,8121448
36,North Dakota,23086,25314,62.6,33.9,36864,560525
36,Ohio,51970,37096,11.6,7.5,446137,8833555
36,Oklahoma,96641,66284,57.3,20,168672,2941764
36,Oregon,43993,20282,34,12.8,129378,3326774
36,Pennsylvania,130411,78851,39.6,16.7,329481,9760505
36,Rhode Island,9192,5511,35.7,22.7,25738,815717
36,South Carolina,112133,81635,40.5,20.5,276867,4033193
36,South Dakota,7579,6238,46.8,26.3,16204,648348
36,Tennessee,218954,118593,55.1,18.2,397598,5279261
36,Texas,515608,193022,36.7,11.1,1403735,21688354
36,Utah,15409,9029,15.5,10.4,99540,2324002
36,Vermont,1274,1728,14,23.5,9124,485680
36,Virginia,72593,36082,34.3,12.7,211654,6511643
36,Washington,88198,44507,39.5,14.9,223201,5950326
36,West Virginia,14546,9695,17.1,11.4,85188,1377441
36,Wisconsin,35107,44148,33.6,32,104496,4454731
36,Wyoming,2812,3552,11.8,14.1,23767,438527
36,"Atlanta-Sandy Springs-Alpharetta, GA Metro Area",91737,46926,22.8,11.3,402668,4722853
36,"Boston-Cambridge-Newton, MA-NH Metro Area",33433,17232,26.5,12.2,126049,3765844
36,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",95561,79752,25,17.8,382182,7187683
36,"Dallas-Fort Worth-Arlington, TX Metro Area",90770,58783,35.9,18.9,252695,5865110
36,"Detroit-Warren-Dearborn, MI Metro Area",110361,78106,52.7,24.1,209243,3354980
36,"Houston-The Woodlands-Sugar Land, TX Metro Area",141700,65769,37.1,13.2,382101,5968202
36,"Los Angeles-Long Beach-Anaheim, CA Metro Area",348285,224636,36.3,17.1,960384,10241502
36,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",239465,214659,46.4,26.5,516442,4981693
36,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",341371,137244,26.7,10.3,1278798,14277750
36,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",58298,22264,29.3,9.7,199015,4823747
36,"Phoenix-Mesa-Chandler, AZ Metro Area",44367,36580,43.1,26.9,102982,3984185
36,"Riverside-San Bernardino-Ontario, CA Metro Area",91174,44290,37.4,16.9,243620,4292644
36,"San Francisco-Oakland-Berkeley, CA Metro Area",31640,16523,25.7,11.7,122956,3386397
36,"Seattle-Tacoma-Bellevue, WA Metro Area",52673,39579,36.1,19.7,145895,3143250
36,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",91622,40168,39.9,13.4,229566,4716221
